'Duncan Hames','duncanhames','Chippenham'
'Ed Balls','edballsmp','Normanton'
'Ed Miliband','Ed_Miliband','Doncaster North'
'Ed Vaizey','edvaizey','Wantage'
'Edward Davey','eddaveykands','Kingston and Surbiton'
'Edward Leigh','edwardleighac','Gainsborough'
'Elizabeth Truss','trussliz','South West Norfolk'
'Emily Thornberry','EmilyThornberry','Islington South and Finsbury'
'Emma Reynolds','EmmaReynoldsMP','Wolverhampton North East'
'Eric Joyce','ericjoyce','Falkirk'
'Eric Pickles','EricPickles','Brentwood and Ongar'
'Esther McVey','EstherMcVeyMP','Wirral West'
'Fabian Hamilton','fabianhamilton','Leeds North East'
'Fiona MacTaggart','fionamacmp','Slough'
'Fiona O'Donnell','FionaODonnellMP','East Lothian'
'Frank Field's Team','frankfieldteam','Birkenhead'
'Frank Roy','FrankRoyMP','Motherwell and Wishaw'
'Gareth Thomas','GarethThomasMP','Harrow West'
'Gavin Barwell','GavinBarwellMP','Croydon Central'
'Gavin Shuker','gavinshuker','Luton South'
'Gavin Williamson','GWilliamsonMP','South Staffordshire'
'Gemma Doyle','GemmaWDMP','West Dunbartonshire'
'Geoffrey Cox','Geoffrey_Cox','Torridge and West Devon'
'George Freeman','Freeman_George','Mid Norfolk'
'George Hollingbery','GHollingbery','Meon Valley'
'Geraint Davies','GeraintDaviesMP','Swansea West'
'Gerald Howarth','geraldhowarth','Aldershot'
'Gerry Sutcliffe','GSutcliffeMP','Bradford South'
'Gisela Stuart','GiselaStuart','Birmingham, Edgbaston'
'Glenda Jackson','glendajacksonmp','Hampstead and Highgate'
'Gloria De Piero','GloriaDePieroMP','Ashfield'
'Glyn Davies','GlynDaviesMP','Montgomeryshire'
'Gordon Birtwistle','GBirtwistle_MP','Burnley'
'Gordon Henderson','ghendersonmp','Sittingbourne and Sheppey'
'Graham Allen','GrahamAllenMP','Nottingham North'
'Grahame Morris','grahamemorris','Easington'
'Graham Evans','GrahamEvansMP','Weaver Vale'
'Graham Jones','GrahamJones_MP','Hyndburn'
'Graham Stuart','grahamstuart','Beverley and Holderness'
'Grant Shapps','grantshapps','Welwyn Hatfield'
'Greg Barker','GregBarkerMP','Bexhill and Battle'
'Greg Clark','gregclarkmp','Tunbridge Wells'
'Gregg McClymont','greggmcclymont','Cumbernauld, Kilsyth and Kirkintilloch East'
'Greg Hands','GregHands','Chelsea and Fulham'
'Greg Knight','gregknightmp','East Yorkshire'
'Greg Mulholland','GregMulholland1','Leeds North West'
'Guto Bebb','GutoBebb','Aberconwy'
'Harriet Harman','HarrietHarman','Camberwell and Peckham'
'Harriett Baldwin','HBaldwinMP','West Worcestershire'
'Hazel Blears','HazelBlearsMP','Salford'
'Heather Wheeler','HeatherWheeler','South Derbyshire'
'Heidi Alexander','heidi_mp','Lewisham East'
'Helen Goodman','HelenGoodmanMP','Bishop Auckland'
'Helen Grant','HelenGrantMP','Maidstone and The Weald'
'Hilary Benn','hilarybennmp','Leeds Central'
'Hugo Swire','HugoSwire','East Devon'
'Huw Irranca-Davies','IrrancaDaviesMP','Ogmore'
'Hywel Williams','HywelWilliamsMP','Caernarfon'
'Iain McKenzie','InverclydeMP','Inverclyde'
'Iain Stewart','iainastewart','Milton Keynes South'
'Iain Wright','IainWrightMP','Hartlepool'
'Ian Austin','IanAustinMP','Dudley North'
'Ian Davidson','IanDavidsonMP','Glasgow South West'
'Ian Lavery','IanLaveryMP','Wansbeck'
'Ian Lucas','IanCLucas','Wrexham'
'Ian Mearns','IanMearnsMP','Gateshead'
'Ian Murray','IanMurrayMP','Edinburgh South'
'Ian Swales','iswales','Redcar'
'Ivan Lewis','IvanLewis_MP','Bury South'
'JackDromeyMP','JackDromeyMP','Birmingham, Erdington'
'Jake Berry','JakeBerryMP','Rossendale and Darwen'
'James Brokenshire','JBrokenshire','Hornchurch'
'James Duddridge','JamesDuddridge','Rochford and Southend East'
'James Gray','JamesGrayMP','North Wiltshire'
'James Morris','JamesMorrisMP','Halesowen and Rowley Regis'
'Jamie Reed','jreedmp','Copeland'
'Jason McCartney','JasonMcCartney','Colne Valley'
'Jeffrey M Donaldson','J_Donaldson_MP','Lagan Valley'
'Jenny Chapman','JennyChapman','Darlington'
'Jenny Willott','JennyWillott','Cardiff Central'
'Jeremy Corbyn','jeremycorbyn','Islington North'
'Jeremy Hunt','Jeremy_Hunt','South West Surrey'
'Jeremy Lefroy','JeremyLefroyMP','Stafford'
'Jesse Norman','Jesse_Norman','Hereford and South Herefordshire'
'Jessica Lee','JessicaLeeMP','Erewash'
'Jim McGovern','JimMcGovernMP','Dundee West'
'Jim Murphy','jimmurphymp','Renfrewshire East'
'Jim Sheridan','JimSheridanMP','Paisley and Renfrewshire North'
'John Denham','JohnDenhamMP','Southampton, Itchen'
'John Glen','JohnGlenMP','Salisbury'
'John Healey','JohnHealey_MP','Wentworth'
'John Hemming','johnhemmingmp','Birmingham, Yardley'
'John Leech','johnleechmcr','Manchester, Withington'
'John Mann','JohnMannOffice','Bassetlaw'
'John McDonnell','johnmcdonnellMP','Hayes and Harlington'
'John Penrose','JohnPenroseNews','Weston-Super-Mare'
'John Pugh','johnpughmp','Southport'
'John Redwood','johnredwood','Wokingham'
'John Robertson','JohnRobertsonMP','Glasgow North West'
'John Spellar','spellar','Warley'
'John Stevenson','JohnStevensonMP','Carlisle'
'John Woodcock','JWoodcockMP','Barrow and Furness'
'Jo Johnson','JoJohnsonMP','Orpington'
'Jonathan Ashworth','JonAshworth','Leicester South'
'Jonathan Djanogly','JDjanogly','Huntingdon'
'Jonathan Edwards','JonathanPlaid','Carmarthen East and Dinefwr'
'Jonathan Evans','JonathanEvansMP','Cardiff North'
'Jonathan Reynolds','jreynoldsMP','Stalybridge and Hyde'
'Jon Cruddas','JonCruddasMP','Dagenham'
'Jon Trickett','jon_trickett','Hemsworth'
'Jo Swinson','joswinson','East Dunbartonshire'
'Julian Huppert','julianhuppert','Cambridge'
'Julian Smith','JulianSmithMP','Skipton and Ripon'
'Julie Ann Hilling','JulieHillingMP','Bolton West'
'Julie Elliott','JulieElliottMP','Sunderland Central'
'Justin Tomlinson','JTomlinsonMP','North Swindon'
'Karen Bradley','karen__bradley','Staffordshire Moorlands'
'Karen Buck','KarenBuckMP','Regent's Park and Kensington North'
'Karl McCartney','karlmccartney','Lincoln'
'Karl Turner','KarlTurnerMP','Kingston upon Hull East'
'Kate Green','KateGreenSU','Stretford and Urmston'
'Keith Vaz','Keith_VazMP','Leicester East'
'Kerry McCarthy','KerryMP','Bristol East'
'Kevan Jones','KevanJonesMP','North Durham'
'Kevin Brennan','KevinBrennanMP','Cardiff West'
'Kwasi Kwarteng','kwasikwarteng','Spelthorne'
'Laura Sandys','LauraSandysMP','South Thanet'
'Liam Byrne','LiamByrneMP','Birmingham, Hodge Hill'
'Lilian Greenwood','LilianGreenwood','Nottingham South'
'Linda Riordan','Linda_Riordan','Halifax'
'Lindsay Hoyle','LindsayHoyle_MP','Chorley'
'Lisa Nandy','lisanandy','Wigan'
'Liz Kendall','leicesterliz','Leicester West'
'Lorely Burt','LorelyBurt','Solihull'
'Louise Ellman','LouiseEllman','Liverpool, Riverside'
'Luciana Berger','lucianaberger','Liverpool, Wavertree'
'Lucy Powell','LucyMPowell','Manchester Central'
'Lynne Featherstone','lfeatherstone','Hornsey and Wood Green'
'Malcolm Bruce','malcolmbruce','Gordon'
'Margaret Curran','Margaret_Curran','Glasgow East'
'Margaret Hodge','margarethodge','Barking'
'Margot James','margotjamesmp','Stourbridge'
'Maria Eagle','meaglemp','Liverpool, Garston'
'Maria_MillerMP','Maria_MillerMP','Basingstoke'
'Mark Durkan','markdurkan','Foyle'
'Mark Field','MarkFieldMP','Cities of London and Westminster'
'Mark Garnier','Mark4WyreForest','Wyre Forest'
'Mark Harper','Mark_J_Harper','Forest of Dean'
'Mark Hunter','markhuntermp','Cheadle'
'Mark Lazarowicz','marklazarowicz','Edinburgh North and Leith'
'Mark Pawsey','MarkPawsey','Rugby'
'Mark Prisk','Mark_Prisk','Hertford and Stortford'
'Mark Pritchard','MPritchardMP','Wrekin, The'
'Mark Reckless','MarkReckless','Rochester and Strood'
'Mark Simmonds','MarkJSimmonds','Boston and Skegness'
'MarkSpencerMP','MarkSpencerMP','Sherwood'
'Mark Williams','mark4ceredigion','Ceredigion'
'Martin Horwood','MartinChelt','Cheltenham'
'Martin Vickers','martinvickersmp','Cleethorpes'
'Mary Creagh','marycreagh_mp','Wakefield'
'Mary Macleod','MaryMacleod4MP','Brentford and Isleworth'
'Matthew Hancock','matthancockmp','West Suffolk'
'Matthew Offord','HendonMP','Hendon'
'Meg Hillier','Meg_HillierMP','Hackney South and Shoreditch'
'Meg Munn','MegMunnMP','Sheffield, Heeley'
'Michael Dugher','MichaelDugherMP','Barnsley East'
'Michael Ellis','Michael_Ellis1','Northampton North'
'Michael Fabricant','Mike_Fabricant','Lichfield'
'Michael McCann','MichaelMcCannMP','East Kilbride, Strathaven and Lesmahagow'
'Michael Meacher','michaelmeacher','Oldham West and Royton'
'Michael Moore','MichaelMooreMP','Berwickshire, Roxburgh and Selkirk'
'Michael Weir','mikeweirsnp','Angus'
'Michelle Gildernew','gildernewmp','Fermanagh and South Tyrone'
'Mike Crockart','CrockartMP','Edinburgh West'
'Mike Freer','mikefreermp','Finchley and Golders Green'
'Mike Gapes','MikeGapes','Ilford South'
'Mike Weatherley','mike_weatherley','Hove'
'Ming Campbell','MingCampbellMP','Fife North East'
'Minister Civ Soc','minforcivsoc','Ruislip - Northwood'
'Nadhim Zahawi','nadhimzahawi','Stratford-on-Avon'
'Nadine Dorries','NadineDorriesMP','Mid Bedfordshire'
'Naomi Long','naomi_long','Belfast East'
'Neil Carmichael','neil_mp','Stroud'
'Nia Griffith','NiaGriffithMP','Llanelli'
'Nic Dakin','NicDakinMP','Scunthorpe'
'Nick Clegg','nick_clegg','Sheffield, Hallam'
'Nick de Bois','nickdebois','Enfield North'
'Nick Harvey','NickHarveyND','North Devon'
'Nick Herbert','nickherbertmp','Arundel and South Downs'
'Nick Smith','NickSmith4BG','Blaenau Gwent'
'Nicky Morgan','NickyMorgan01','Loughborough'
'Nicola Blackwood','nicolablackwood','Oxford West and Abingdon'
'Nigel Adams','nigel4selby','Selby'
'Nigel Dodds','NigelDoddsMP','Belfast North'
'Norman Lamb','normanlamb','North Norfolk'
'Oliver Colvile','olivercolvile','Plymouth, Sutton and Devonport'
'Owen Smith','OwenSmithMP','Pontypridd'
'Pamela Nash','pamela_nash','Airdrie and Shotts'
'Pat Glass','PatGlassMP','North West Durham'
'Pat McFadden','patmcfaddenmp','Wolverhampton South East'
'Paul Blomfield','PaulBlomfieldMP','Sheffield Central'
'Paul Burstow','PaulBurstow','Sutton and Cheam'
'Paul Flynn','Paulflynnmp','Newport West'
'Pauline Latham','Pauline_Latham','Mid Derbyshire'
'Paul Maskey','PaulMaskeyMP','Belfast West'
'Paul Maynard','PaulMaynardMP','Blackpool North and Cleveleys'
'Paul Uppal','pauluppalmp','Wolverhampton South West'
'Penny Mordaunt','PennyMordauntMP','Portsmouth North'
'Peter Aldous','peter_aldous','Waveney'
'Peter Bone','PeterBoneMP','Wellingborough'
'Peter Hain','PeterHain','Neath'
'Peter Luff','PeterJLuff','Mid Worcestershire'
'Pete Wishart','PeteWishart','Perth and Perthshire North'
'Philip Davies','PhilipDaviesMP','Shipley'
'Phil Wilson','PhilWilsonMP','Sedgefield'
'Rachel Reeves','RachelReevesMP','Leeds West'
'Richard Benyon','RichardBenyonMP','Newbury'
'Richard Burden','RichardBurdenMP','Birmingham, Northfield'
'Richard Harrington','Richard4Watford','Watford'
'Robert Blackman-Woods','robertabwMP','Durham, City of'
'Robert Buckland','RobertBuckland','South Swindon'
'Robert Halfon','halfon4harlowMP','Harlow'
'Rob Flello','RobFlelloMP','Stoke-on-Trent South'
'Rob Wilson','RobWilson_RDG','Reading East'
'Roger Godsiff','RogerGodsiff','Birmingham, Sparkbrook and Small Heath'
'Roger Williams','RogerWilliamsMP','Brecon and Radnorshire'
'Rory Stewart','RoryStewartUK','Penrith and The Border'
